dept_id,name_ko,kind,college,department,major,list_url,link_selector,content_selector,url_prefix,fetch_type,login,seed_pages,discord_channel_id,discord_role_id,icon_url,active,note,fetch_config
scatch_haksa,학사공지,general,,,,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%ED%95%99%EC%82%AC&keyword,div.notice_col3 a,div.col-xl-10 > div.p-4 > div:last-of-type,,html,0,3,1355604572353069200,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
scatch_janghak,장학공지,general,,,,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EC%9E%A5%ED%95%99&keyword,div.notice_col3 a,div.col-xl-10 > div.p-4 > div:last-of-type,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
scatch_gukje,국제교류공지,general,,,,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&keyword,div.notice_col3 a,div.col-xl-10 > div.p-4 > div:last-of-type,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
scatch_foreign,외국인유학생공지,general,,,,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EC%99%B8%EA%B5%AD%EC%9D%B8%EC%9C%A0%ED%95%99%EC%83%9D&keyword,div.notice_col3 a,div.col-xl-10 > div.p-4 > div:last-of-type,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
scatch_chaeyong,채용공지,general,,,,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EC%B1%84%EC%9A%A9&keyword,div.notice_col3 a,div.col-xl-10 > div.p-4 > div:last-of-type,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
scatch_event,행사공지,general,,,,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EB%B9%84%EA%B5%90%EA%B3%BC%C2%B7%ED%96%89%EC%82%AC&keyword,div.notice_col3 a,div.col-xl-10 > div.p-4 > div:last-of-type,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
scatch_bongsa,봉사공지,general,,,,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EB%B4%89%EC%82%AC&keyword,div.notice_col3 a,div.col-xl-10 > div.p-4 > div:last-of-type,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
scatch_etc,기타공지,general,,,,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EA%B8%B0%ED%83%80&keyword,div.notice_col3 a,div.col-xl-10 > div.p-4 > div:last-of-type,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
docs,인문대학 기독교학과,major,인문대학,기독교학과,,https://docs.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
korlan,인문대학 국어국문학과,major,인문대학,국어국문학과,,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
englan,인문대학 영어영문학과,major,인문대학,영어영문학과,,https://englan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
gerlan,인문대학 독어독문학과,major,인문대학,독어독문학과,,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
france,인문대학 불어불문학과,major,인문대학,불어불문학과,,https://france.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
chilan,인문대학 중어중문학과,major,인문대학,중어중문학과,,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
japanstu,인문대학 일어일문학과,major,인문대학,일어일문학과,,https://japanstu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
philo,인문대학 철학과,major,인문대학,철학과,,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
history,인문대학 사학과,major,인문대학,사학과,,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
creativewriting,인문대학 예술창작학부 문예창작전공,major,인문대학,예술창작학부,문예창작전공,https://creativewriting.ssu.ac.kr/%ea%b3%b5%ec%a7%80/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,#mform > table,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
